Reviewer Name,Review Date,Review Content
uzair1616,17/11/2023 18:28,Order 15/11 shipping 16/11 sampai 17/11. Barang betul saiz tepat. Seller laju buat kerja. Kasut ringan tapak pun lembut. Kasut memang grip kaki. Sesuai lah untuk lari biasa biasa je. Kalau tak kesah ada warna pink sikit boleh lah beli. Tq seller.
my1851_21788,14/12/2023 18:20,"It fits my both feets well and it's light weight, comfortable to wear for casual running, or street walk. Item received in good condition thanks for the good service and fast delivery 🚚"
seny72,23/11/2023 18:01,"1) Barangan di terima dalam keadaan yang baik.
2) Pembungkusan sangat kemas dan shipping yang cepat.
3) Penghantaran pantas oleh J&T.
4) Kualiti item sangat baik dan ringan. Sesuai untuk jogging dan berlari."
j*****1,26/1/2024 13:06,Buy it for jogging fit to size. So far Arch is comfortable and comfort with it. Shipping is also quite fast and lucky no damages to the shoes. Black color is good for avoiding dustiness.
r*****0,24/7/2022 16:52,"Penghantaran pantas order petang esoknya seller pos. Kualiti dan material kasut sangat baik, memang sesuai untuk buat jogging and kaki pun tak sakit bila pakai. Overall memang berbaloi beli kasut ni. Tq seller⭐⭐⭐⭐⭐"
,9/4/2023 10:57,"ModeL nyA sAngAt cAnteeekk 😍 RingAn di pAkAi. PenghAntAran pun Laju 👍🏻 tq seller, dh 6x beLi ngAn pumA ni MemAng x pernAh Mengecewakan.. 👍🏻"
kcsooo,4/2/2024 21:15,Received in good condition. Looks good in correct shape. I should get a smaller size because the cushion not as thick as my old puma. Thanks good deal.
m*****6,16/12/2023 11:11,"Kasut dah sampai semalam takde defect cuma kasut nie agak nipis mungkin sebab running shoes untuk coolling, kasut nie ringgan tapak pun pembut, dri segi saiz biasa saya 8 memang ngam cuma puma ini ade lebih 1cm tetapi overall memang selesa memakainya.. harap bleh tahan lama"
a*****u,1/1/2024 16:53,harga berpatutan dgn kualiti...tapak tebal tak sakit dah pakai rasa nak lari je 🤣 tak tergelincir and tinggalkan kesan if tapak basah cuma kalau mozek licin tu hati2 sikit le tapi MEMANG TERBAIK
fenxix,18/11/2023 0:43,Really like the simplicity and colour of it. Texture is nice and comfortable to wear. Easy to walk in. I like how the rose gold shines at night.
s*****9,12/1/2023 11:51,"Barang dah sampai, kotak dibungkus dgn baik serta dijaga rapi. Belum cuba dan belum buka. Saya tinggal 5 star dulu, nanti dah buka dan cuba, saya akan review🥰

Gurau² . Kotak mmg aduhh. Tapi overall barang baek dalam semua ok👍🏻"
mani0,19/12/2023 14:15,Thank you so much seller very very fast delivery 🚚♥️ i just really appreciate it ❤️ very good quality ☺️❤️♥️♥️☺️
shynariz,19/11/2022 18:27,Order 15hb sampai 18hb post n cepat sampai 😍 cuma ada defect sikit pada kasut kenapa ya?
a*****0,4/1/2024 14:18,puas hati! kasut cantik gila for girls. it’s black and pink. kasut ringan and selesa dipakai. bought the exact size as my usual wear. my feet is 25cm long so UK6 is perfect. no need to buy 1 size bigger ke apa. cuma kotak tu la kemek sikit sbb takde bubble wrap. maybe can improve on that
bonanoo89,12/1/2024 21:27,Semua ok. Material bagus. Ringan. Belum test jogging lagi. Cuma wording kat Profoam tu tanggal 😭😭😭
sis_aniey99,22/12/2023 13:05,"Best pakai , lembut . Item cepat sampai .. memang rasa mcam nak marathon merentas desa je pakai . Mmg sesuai untuk sport tak sakit kaki 🥰"
d*****9,21/1/2024 19:30,"Super Fast delivery, took only 3 days to deliver from West to East Malaysia. The product is very good, unfortunately if they could bubble wrap the box to make sure everything is in perfect condition, I'll be even more satisfied"
s*****n,11/1/2024 15:59,Cantik menarik tetarik kau memang the boom barang ok kemah harga terbaik
bartdeb,17/1/2024 17:27,Penghantaran cepat malam isnin order petang nie da sampai..terbaik seller syarikat kurier pun terbaik la🌟🌟🌟🌟🌟
winison,15/1/2024 21:07,Product in good quality..really soft and fit in size..will buy it again.thanks seller
b*****_,30/11/2023 14:56,Sangat berpuas hati sbb penghantaran laju dan kasut selamat sampai
eyna_ariffin,17/11/2023 22:12,kasut dah sampai . thankyou seller . beli time discount memang murah gila . penghantaran pun laju . kasut muat dengan kaki .
dnomseday,29/12/2023 6:22,"Good shoes, the rose gold a bit of a weird tinge personally but very comfortable :)"
w*****8,30/11/2023 18:30,Good quality product with reasonably priced. Very fast delivery speed.
aliffikmal55,3/1/2024 4:52,Good product and ofcourse original items from PUMA STORE OFFICIAL
hadzirseta79,2/10/2022 16:04,Kualiti baik. Kasut ringan. Harga berpatutan. Seller cepat pos. Kurier (shpxprss) hampeh..seminggu baru sampai. Tracking barang xupdate..menyampah.
jgt5208,18/12/2023 17:58,"Saiz ok ngam. Tapak tu nak kata lembut sangat tu takde la lembut sangat, tp selesa la"
j*****7,14/12/2023 13:17,"Fantastic design, shipped within 2 days of placing order. Only complaint is that the box was a little damaged. Other than that I am very satisfied with this purchase."
h*****2,7/2/2024 11:54,"Midsole yg sedap, tak keras sangat profoam. Quality kasut sampai dalam keadaan baik lagi. Best choice for this price range"
khairi111,15/12/2023 17:38,Kasut sudah sampai.saiz mengikut kaki.kasut ori puma. sesuai la nk bawak pi joging kasut ringan.terbaik.👍
i*****i,16/9/2023 13:05,Kotak hancur nasib baik kasut ok. Saiz ngam. Tak longgar dan tak ketat. Sesuai untuk wide feet. Selesa jugalah.
khadijahwhoseen,3/8/2023 16:13,"second shoes from puma. choose your regular size. the foam is very lightweight and have enough room for my feet. my feet is quite slender but this shoes is also suitable for those with wide feet. dalam gmbr nampak biasa, tp bila pakai smart woooo. worth my moneyh 😁"
manmohansingh569,21/12/2023 20:23,Good quality received in 3 days i realy like it thx seller
l*****n,20/9/2023 23:30,"Received item with good condition, packaging was good and fast delivery on the estimated date."
kartina1908,25/2/2024 23:29,"Patutnya sy kena pilih saiz UK 5.5, tp terambil saiz UK5 pula. My bad. Huhu
Dia jd ngam2 dengan kaki. Hahaha. But its ok. Cuma tak boleh pakai stokin yg tebal la kalau nak pakai kasut ni.
But overall dah beberapa hari pakai, selesa utk melangkah & berlari. Tak bg kesan sakit tapak kaki pun.

So far, puma is the best."
u*****i,17/12/2023 12:02,"Terbaik beli masa 12.12 dapat banyak gila less. Pakai pun selesa. Cuma dulu kotak ada banyak lapis, sekarang satu kotak je. Apapun barangvsampai dengan baik."
l*****e,5/1/2024 22:49,Good product. Good value for money. Fast delivery. Excellent service by seller.
mohdzulkhairiyahaya,30/12/2023 22:31,"Very fast delivery from the seller and courier service. Item received in good condition.
The shoes arrived as per ordered size and fits perfectly."
hmbakehouse20,16/12/2023 9:37,"Good product.Fast delivery. reccommended seller. I love it.
sory no photo or video. but everythings is good"
razimianan,7/1/2024 6:19,"Maaf tak ada gambar real, beli untuk anak
Amat selesa ringan bila bawa untuk jogging kasut design cantik suka sangat"
a*****4,14/1/2024 18:14,Fast delivery 🚚 packing boxes also ok 🙂 already give mama forgot take photos.
teckwong,23/11/2023 18:58,Cantik kasut ni...ringan...pakai pun selesa...x try bawak johging lagi...servis dr seller pun pantas...terbaik lah
youshengfoong,22/11/2022 8:49,shoes are comfortable. fits description as stated with fast delivery within 2-3 working days
a*****a,1/10/2023 16:19,Quality kasut tak berapa kemas..nampak gam2 kt tapak kasut tu 😂 ni second purchase since first purchase parcel reported missing kt jnt 🙄🙄🙄
lilili22,14/11/2023 13:08,Packaging is bad. Box is badly shaped. Shoes yet to try them.
h*****p,6/2/2024 23:51,"Comfortable, well fit, reasonable price, fast delivery to Sabah."
a*****x,31/1/2024 11:09,"kasut cantik berbaloi beli , simple minimalist 👍🏻. 
Kasut perlu amik half size bigger sbb terasa padat sikit. mungkin belum kembang lagi"
cediloco,30/1/2024 22:33,For running rasa sgt ok. Not expecting tahan lama la. Nama lg kasut running kn
